key,original,translated
abc_action_bar_home_description,Navigate home,
abc_action_bar_home_description_format,"%1$s, %2$s",
abc_action_bar_home_subtitle_description_format,"%1$s, %2$s, %3$s",
abc_action_bar_up_description,Navigate up,
abc_action_menu_overflow_description,More options,
abc_action_mode_done,Done,
abc_activity_chooser_view_see_all,See all,
abc_activitychooserview_choose_application,Choose an app,
abc_capital_off,OFF,
abc_capital_on,ON,
abc_font_family_body_1_material,sans-serif,
abc_font_family_body_2_material,sans-serif-medium,
abc_font_family_button_material,sans-serif-medium,
abc_font_family_caption_material,sans-serif,
abc_font_family_display_1_material,sans-serif,
abc_font_family_display_2_material,sans-serif,
abc_font_family_display_3_material,sans-serif,
abc_font_family_display_4_material,sans-serif-light,
abc_font_family_headline_material,sans-serif,
abc_font_family_menu_material,sans-serif,
abc_font_family_subhead_material,sans-serif,
abc_font_family_title_material,sans-serif-medium,
abc_search_hint,Search…,
abc_searchview_description_clear,Clear query,
abc_searchview_description_query,Search query,
abc_searchview_description_search,Search,
abc_searchview_description_submit,Submit query,
abc_searchview_description_voice,Voice search,
abc_shareactionprovider_share_with,Share with,
abc_shareactionprovider_share_with_application,Share with %s,
abc_toolbar_collapse_description,Collapse,
about_menu,About,
about_text,TAN VPN %s (build %d),
accept,Accept,
add_proxy,Add proxy,
add_routes,TAN VPN : Adding routes,
add_shortcut_app,Add App Shortcut,
add_shortcut_connect,Add Connect Shortcut,
add_shortcut_disconnect,Add Disconnect Shortcut,
add_shortcut_help_text,"Create a Connect shortcut for a given profile on your home page. When you touch the shortcut, the profile will automatically connect.",
add_shortcut_menu,Add Shortcut,
advanced_menu,Advanced,
alt_proxy_summary,Enable Private Tunnel proxy (for Private Tunnel profiles only),
alt_proxy_title,Private Tunnel Proxy,
app,TAN VPN,
app_shortcut_title,TAN VPN,
appbar_scrolling_view_behavior,android.support.design.widget.AppBarLayout$ScrollingViewBehavior,
apprate_dismiss,No thanks,
apprate_message,"If you enjoy using %s, please take a moment to rate it. Thanks for your support!",
apprate_rate,Rate it!,
apprate_remind_later,Remind me later,
apprate_title,Rate %s,
ar_accept,Accept,
ar_cancel,Cancel,
ar_title,Profile available for import,
ar_warn_replace,Note: existing profile will be replaced,
assign_ip,TAN VPN : Assigning IP address,
auth,KATUN VPN : Authenticating,
auth_failed,TAN VPN : Username or password is incorrect,
auto_keyboard_summary,Automatically raise/dismiss soft keyboard,
auto_keyboard_title,Auto Keyboard,
autologin_suffix,/autologin,
autostart_finish_on_connect_summary,"When VPN connection is launched from a shortcut or automatically on reboot, and no user input is required to authenticate connection, minimize the app after VPN connects.",
autostart_finish_on_connect_title,Shortcut Minimize,
autostart_summary,"If a VPN connection is active on device shutdown, try to reconnect it on reboot",
autostart_title,Reconnect on reboot,
beta_expire_warn,Note: This beta expires on %s,
bottom_sheet_behavior,android.support.design.widget.BottomSheetBehavior,
bytes_in,"Download : ",
bytes_out,"Upload : ",
cert_error_header_text,Certificate error:,
cert_profile_insecure_summary,Enable support for MD5 signatures of X509 certificates. Note that MD5 is broken and should not be used,
cert_profile_insecure_title,Use insecure algorithms,
cert_verify_fail,KATUN VPN server certificate verification failed,
cert_warn_accept,Accept,
cert_warn_reject,Reject,
cert_warn_title,Accept Invalid Certificate?,
channel_description,KATUN VPN notifications,
channel_name,KATUN VPN,
character_counter_pattern,%1$d / %2$d,
check_payload,Check payload,
click_exit,EXIT,
client_halt,KATUN VPN client was halted by server,
client_ip,Client IP,
client_restart,KATUN VPN client was restarted by server,
co1,15 seconds,
co2,30 seconds,
co3,1 minute,
co4,2 minute,
co5,Continuously retry,
common_google_play_services_enable_button,Enable,
common_google_play_services_enable_text,%1$s won't work unless you enable Google Play services.,
common_google_play_services_enable_title,Enable Google Play services,
common_google_play_services_install_button,Install,
common_google_play_services_install_text,"%1$s won't run without Google Play services, which are missing from your device.",
common_google_play_services_install_title,Get Google Play services,
common_google_play_services_notification_ticker,Google Play services error,
common_google_play_services_unknown_issue,%1$s is having trouble with Google Play services. Please try again.,
common_google_play_services_unsupported_text,"%1$s won't run without Google Play services, which are not supported by your device.",
common_google_play_services_update_button,Update,
